CP,NC,XP,CC_1,CC_2
0.108989179014499,1,x1,2,3
-0.155832614318088,1,x1,4,5
25.51,1,x3,6,7
-0.145702905236049,-1,x2,8,9
-0.24858702481152,1,x2,10,11
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,-1,,0,0
-0.0861253654482417,1,x2,12,13
-0.101163389096117,1,x1,14,15
-0.0696010763438157,1,x2,16,17
NaN,1,,0,0
-0.124451739836912,1,x2,18,19
NaN,-1,,0,0
0.0352960514932347,1,x2,20,21
-0.0133320641243435,1,x1,22,23
NaN,1,,0,0
22.545,-1,x3,24,25
0.060190373743655,1,x2,26,27
12.765,-1,x3,28,29
NaN,1,,0,0
-0.0356566730079659,1,x2,30,31
NaN,-1,,0,0
NaN,1,,0,0
0.0145288897920477,1,x1,32,33
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
-0.0114869670712808,-1,x1,34,35
NaN,1,,0,0
0.0608807005006927,-1,x1,36,37
NaN,-1,,0,0
NaN,1,,0,0
NaN,-1,,0,0
NaN,1,,0,0
